feature,coefficient,abs_coefficient
business_latitude_first12m_first,-1.2572837636971543,1.2572837636971543
location_cluster_lat_first12m_first,1.0996209539539277,1.0996209539539277
business_category_electronic_cigarette_dealer_first12m_max,0.7705941002114419,0.7705941002114419
business_category_home_improvement_contractor_first12m_max,0.7050266485446438,0.7050266485446438
business_category_secondhand_dealer_auto_first12m_max,0.5788890780957724,0.5788890780957724
business_category_tobacco_retail_dealer_first12m_max,0.5403350623837778,0.5403350623837778
business_category_construction_labor_provider_first12m_max,-0.4778254774225237,0.4778254774225237
business_category_scale_dealer_repairer_first12m_max,-0.4535391157915809,0.4535391157915809
business_category_employment_agency_first12m_max,0.4121547940874859,0.4121547940874859
business_category_tow_truck_company_first12m_max,0.4004977653300344,0.4004977653300344
business_category_garage_and_parking_lot_first12m_max,0.37407808874304627,0.37407808874304627
location_cluster_lng_first12m_first,0.3506749592583662,0.3506749592583662
business_category_bingo_game_operator_first12m_max,0.31096632077815545,0.31096632077815545
business_category_pawnbroker_first12m_max,0.28150442266252645,0.28150442266252645
business_category_debt_collection_agency_first12m_max,-0.21306915862722392,0.21306915862722392
business_category_industrial_laundry_first12m_max,0.20145784103849448,0.20145784103849448
business_category_dealer_in_products_for_the_disabled_first12m_max,-0.14045607849637956,0.14045607849637956
business_category_secondhand_dealer_general_first12m_max,0.12217060593289064,0.12217060593289064
business_category_stoop_line_stand_first12m_max,0.12184666961650188,0.12184666961650188
active_license_count_first12m_mean,0.11142380266817495,0.11142380266817495
business_category_electronics_store_first12m_max,-0.08238754711381634,0.08238754711381634
business_longitude_first12m_first,-0.06541304167385631,0.06541304167385631
business_category_electronic_and_home_appliance_service_dealer_first12m_max,0.010242709416127461,0.010242709416127461
business_category_storage_warehouse_first12m_max,0.0,0.0
