coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),feature,abs_coef
0.010736435853518108,1.0107942782024841,0.011672412095970383,-0.012141071467293528,0.033613943174329745,0.9879323339670297,1.034185275366216,0.0,0.919812954275715,0.3576705126096601,1.4832969115986139,complaint_type_heat_hot_water,0.010736435853518108
-0.010447975572962606,0.9896064149354469,0.01174304132995508,-0.033463913648639904,0.012567962502714688,0.9670898093443832,1.0126472712449492,0.0,-0.8897163247063674,0.37361822611379203,1.4203632595330211,active_license_count,0.010447975572962606
0.01000443487127968,1.010054646536578,0.011723155862711429,-0.012972528404784307,0.03298139814734367,0.9871112521685627,1.0335313134652797,0.0,0.8533909288966641,0.3934425501995169,1.3457751036098617,business_category_pedicab_business,0.01000443487127968
0.009253477873233676,1.0092964236633712,0.011727270397346614,-0.013731549742528416,0.03223850548899577,0.9863622979375174,1.032763795767264,0.0,0.7890564095228287,0.43007903765941513,1.2173262798145403,business_category_dealer_in_products_for_the_disabled,0.009253477873233676
0.008263192090859394,1.0082974264928037,0.011596376222260354,-0.014465287655947552,0.030991671837666337,0.9856388319728149,1.0314769135435726,0.0,0.7125667477912113,0.47611389428574646,1.070621363651894,complaint_type_water_system,0.008263192090859394
0.00812993894492452,1.0081630766401546,0.011734311858050895,-0.014868889680216518,0.03112876757006556,0.9852411064118524,1.0316183343203584,0.0,0.6928347433809321,0.488413265902799,1.0338257086646996,business_category_construction_labor_provider,0.00812993894492452
0.007448206565466299,1.0074760134502563,0.011723234945856835,-0.015528911710714468,0.030425324841647068,0.9845910401289013,1.030892905083452,0.0,0.6353371402915204,0.5252085556034387,0.9290376770836035,complaint_type_illegal_parking,0.007448206565466299
0.007218719608280148,1.0072448373724534,0.011711767071992627,-0.015735922048147524,0.030173361264707817,0.9843872407004727,1.030633190340348,0.0,0.6163646838181152,0.5376538564536434,0.8952504356639945,business_category_scale_dealer_repairer,0.007218719608280148
0.0072158036330733435,1.0072419002757629,0.011766263948277149,-0.015845649938141925,0.030277257204288612,0.984279231891511,1.0307402745067304,0.0,0.6132620910760636,0.5397030550282946,0.8897622410737611,business_category_scrap_metal_processor,0.0072158036330733435
0.006060771760641924,1.0060791753991074,0.011687516558722364,-0.016846339763169422,0.02896788328445327,0.9832947663336566,1.0293915332691648,0.0,0.5185679720914522,0.6040620484738305,0.7272313459532401,business_category_games_of_chance_raffle_with_net_proceeds_over_30_000,0.006060771760641924
0.005711974272601871,1.005728318702483,0.011745036971006132,-0.017307875187661557,0.028731823732865296,0.9828410456784077,1.0291485642441205,0.0,0.48633088909830463,0.6267325819980731,0.6740780983063075,business_category_process_serving_agency,0.005711974272601871
0.004613976794643842,1.0046246375754668,0.011735382279961633,-0.018386949818890504,0.02761490340817819,0.9817810588447906,1.0279997289937464,0.0,0.3931680012267079,0.6941954018957956,0.5265862855895768,business_category_electronics_store,0.004613976794643842
-0.004555389169572036,0.995454970878351,0.011739206008692504,-0.02756381015370554,0.018453031814561465,0.9728126052510262,1.018624341109064,0.0,-0.38804917182634985,0.6979796452799429,0.5187431302029598,business_category_home_improvement_contractor,0.004555389169572036
-0.004000324850602862,0.9960076657902482,0.011740737175177941,-0.02701174686590216,0.019011097164696435,0.9733498076475144,1.0191929587067732,0.0,-0.34072177844678087,0.7333130418492287,0.4474988971919196,business_category_secondhand_dealer_general,0.004000324850602862
-0.0036453278130049475,0.9963613083283414,0.011736109896092722,-0.0266476805279508,0.019357024901940904,0.9737042360613429,1.0195455868091983,0.0,-0.3106078458091619,0.7560987619394105,0.4033534026973734,business_category_electronic_cigarette_dealer,0.0036453278130049475
-0.003299088247777782,0.9967063477642513,0.011817622060728061,-0.0264612018697108,0.019863025374155234,0.9738858280517955,1.0200616079000155,0.0,-0.27916684344993614,0.7801167875686151,0.35823797574117144,business_category_pawnbroker,0.003299088247777782
-0.0030714609930552876,0.9969332511176713,0.011733423602706666,-0.02606854866971256,0.019925626683601982,0.9742683025236114,1.0201254670912,0.0,-0.2617702298199447,0.7934985921003246,0.333700431589579,business_category_secondhand_dealer_auto,0.0030714609930552876
-0.0027047316227007314,0.9972989228683263,0.011732024996611027,-0.02569907808178199,0.020289614836380532,0.9746283325122971,1.0204968482606416,0.0,-0.23054260653911274,0.8176701597435332,0.2904091036370046,business_category_garage_and_parking_lot,0.0027047316227007314
0.0024617111326811843,1.0024647436313996,0.011699672709418041,-0.02046922600868433,0.0253926482740467,0.9797388464853507,1.0257177877849857,0.0,0.2104085467877702,0.8333488225909709,0.26300759055278544,business_category_industrial_laundry,0.0024617111326811843
-0.0023489518316495914,0.9976538047968858,0.011735548180224176,-0.02535020360372355,0.020652299940424366,0.9749684147826663,1.0208670343926696,0.0,-0.2001569756756536,0.8413578146672505,0.24920861109976186,business_category_stoop_line_stand,0.0023489518316495914
-0.0022353655944084803,0.9977671309746672,0.011744893964564695,-0.025254934767197132,0.02078420357838017,0.9750613033138136,1.0210016993495787,0.0,-0.19032658797540114,0.8490532202371199,0.2360731074627082,business_latitude,0.0022353655944084803
-0.0021699499432174664,0.9978324026961497,0.011744081463889385,-0.025187926643945098,0.020848026757510164,0.975126642530909,1.0210668650034458,0.0,-0.18476966035101275,0.8534097056159922,0.2286895768437231,location_cluster_lat,0.0021699499432174664
-0.0020742662470400477,0.9979278835565132,0.011738240198665456,-0.02508079427830463,0.020932261784224537,0.975231115751054,1.0211528782207084,0.0,-0.17671015517946848,0.8597360637333877,0.21803426994010675,business_category_tow_truck_company,0.0020742662470400477
-0.0016643569854504776,0.9983370272885551,0.011733721573947605,-0.02466202867500842,0.021333314704107466,0.9756395945200544,1.0215624966980186,0.0,-0.14184391328543633,0.8872032969362228,0.17266336817865358,location_cluster_lng,0.0016643569854504776
-0.001550963649638752,0.9984502384729194,0.011737088693676387,-0.024555234772596742,0.02145330747331924,0.9757437924434529,1.0216850841655782,0.0,-0.13214210867081266,0.8948718900201155,0.16024693414368008,business_category_electronic_and_home_appliance_service_dealer,0.001550963649638752
-0.0014610471885058913,0.9985400196213212,0.011746431832439331,-0.024483630526941812,0.02156153614993003,0.9758136623431243,1.0217956657740928,0.0,-0.12438221319865114,0.9010126557905423,0.15038072434463878,business_category_storage_warehouse,0.0014610471885058913
-0.0014255969826830277,0.9985754186979877,0.011734243089994437,-0.02442429082491012,0.021573096859544068,0.9758715685531377,1.0218074785253517,0.0,-0.12149032295901614,0.9033026790892761,0.1467186072338261,business_longitude,0.0014255969826830277
-0.0013319266353887301,0.9986689599852108,0.01186479265592133,-0.024586492925029874,0.02192263965425241,0.9757132929719341,1.0221647063966264,0.0,-0.11225873675289294,0.9106182582383454,0.13508170866242647,business_category_bingo_game_operator,0.0013319266353887301
-0.0013098145463608186,0.9986910428863119,0.011732830216428956,-0.02430573920728486,0.021686110114563225,0.9759872665641418,1.0219229628400088,0.0,-0.11163670846670432,0.9111114647889428,0.13430053168203088,business_category_employment_agency,0.0013098145463608186
-0.00129316712046879,0.9987076686598253,0.011244266130542526,-0.023331523768915695,0.020745189527978117,0.9769385517299896,1.020961866714841,0.0,-0.11500680484217565,0.9084397283519647,0.138537294783711,complaint_type_derelict_vehicles,0.00129316712046879
-0.0011085356533755027,0.9988920785452973,0.011754615405844066,-0.024147158500949544,0.021930087194198537,0.9761420515868827,1.0221723190374563,0.0,-0.0943064162545352,0.9248657531992719,0.11268412520368125,business_category_car_wash,0.0011085356533755027
-0.0010124310702674917,0.9989880812651525,0.010590210760470132,-0.021768862749477487,0.019744000608942505,0.9784663689424664,1.0199402025318989,0.0,-0.09560065358156732,0.9238377460965214,0.11428860196544044,complaint_type_investigations_and_discipline_iad,0.0010124310702674917
0.0008300841694019796,1.0008304287846128,0.011738207480994762,-0.022176379736406383,0.023836548075210344,0.9780677085119497,1.024122909348616,0.0,0.07071643355648315,0.9436234414950304,0.08371683643232364,business_category_tobacco_retail_dealer,0.0008300841694019796
-0.0007629280584906065,0.9992373628971232,0.011459510771150637,-0.023223156450394678,0.021697300333413463,0.9770444256777345,1.0219343984455946,0.0,-0.06657597114977028,0.9469192755385513,0.07868665308407714,complaint_type_street_light_condition,0.0007629280584906065
-0.000734540391303444,0.9992657293174484,0.011599614877138318,-0.02346936778502955,0.022000287002422663,0.9768038958774875,1.022244077856923,0.0,-0.06332454991683815,0.9495080669848185,0.07474783737772533,complaint_type_noise_street_sidewalk,0.000734540391303444
-0.0006215866934251462,0.9993786064515627,0.011634215754495756,-0.02342423056060532,0.022181057173755025,0.9768479870892243,1.022428885797399,0.0,-0.05342746830055557,0.9573913199234323,0.0628193687964539,complaint_type_noise,0.0006215866934251462
-0.0005970599548783587,0.9994031182499484,0.011555991563216336,-0.023246387224431096,0.02205226731467438,0.9770217284430963,1.0222972158043393,0.0,-0.051666700482791046,0.9587942709503036,0.06070680635951501,complaint_type_water_leak,0.0005970599548783587
-0.000515821166587153,0.9994843118462795,0.0118215467497178,-0.023685627037590577,0.02265398470441627,0.9765926758370336,1.0229125349221146,0.0,-0.04363398271884062,0.9651961631918683,0.05110591426435115,business_category_hotel,0.000515821166587153
-0.000470953480854889,0.9995291574003283,0.011708907694535895,-0.02341999086044916,0.02247808389873938,0.976852128640567,1.022732619607173,0.0,-0.04022181173011255,0.9679162884529274,0.04704581542072037,complaint_type_plumbing,0.000470953480854889
-0.00044879728666363203,0.9995513034077743,0.011529052797350128,-0.023045325545330644,0.02214773097200338,0.9772181898221003,1.022394812693841,0.0,-0.03892750727681505,0.9689481855500385,0.04550857522085714,complaint_type_elevator,0.00044879728666363203
